gene_id,gene_name
ENSG00000057149,SERPINB3
ENSG00000058799,YIPF1
ENSG00000058804,NDC1
ENSG00000059588,TARBP1
ENSG00000059691,GATB
ENSG00000060762,MPC1
ENSG00000062038,CDH3
ENSG00000062282,DGAT2
ENSG00000062582,MRPS24
ENSG00000063177,RPL18
ENSG00000063241,ISOC2
ENSG00000064102,INTS13
ENSG00000064115,TM7SF3
ENSG00000064195,DLX3
ENSG00000064199,SPA17
ENSG00000064270,ATP2C2
ENSG00000064490,RFXANK
ENSG00000064545,TMEM161A
ENSG00000065057,NTHL1
ENSG00000065154,OAT
ENSG00000065183,WDR3
ENSG00000065268,WDR18
ENSG00000065328,MCM10
ENSG00000065361,ERBB3
ENSG00000065427,KARS
ENSG00000065518,NDUFB4
ENSG00000065618,COL17A1
ENSG00000065621,GSTO2
ENSG00000065833,ME1
ENSG00000065978,YBX1
ENSG00000066279,ASPM
ENSG00000066468,FGFR2
ENSG00000066583,ISOC1
ENSG00000067560,RHOA
ENSG00000067704,IARS2
ENSG00000068078,FGFR3
ENSG00000068489,PRR11
ENSG00000068697,LAPTM4A
ENSG00000068784,SRBD1
ENSG00000069812,HES2
ENSG00000069849,ATP1B3
ENSG00000070214,SLC44A1
ENSG00000070413,DGCR2
ENSG00000070501,POLB
ENSG00000070540,WIPI1
ENSG00000070756,PABPC1
ENSG00000070759,TESK2
ENSG00000070785,EIF2B3
ENSG00000071082,RPL31
ENSG00000071539,TRIP13
ENSG00000071553,ATP6AP1
ENSG00000071909,MYO3B
ENSG00000071967,CYBRD1
ENSG00000072042,RDH11
ENSG00000072210,ALDH3A2
ENSG00000072501,SMC1A
ENSG00000072506,HSD17B10
ENSG00000072571,HMMR
ENSG00000072864,NDE1
ENSG00000073050,XRCC1
ENSG00000073060,SCARB1
ENSG00000073282,TP63
ENSG00000073737,DHRS9
ENSG00000073969,NSF
ENSG00000074071,MRPS34
ENSG00000074201,CLNS1A
ENSG00000074410,CA12
ENSG00000074527,NTN4
ENSG00000074695,LMAN1
ENSG00000075223,SEMA3C
ENSG00000075239,ACAT1
ENSG00000075618,FSCN1
ENSG00000075624,ACTB
ENSG00000075651,PLD1
ENSG00000075673,ATP12A
ENSG00000075702,WDR62
ENSG00000075945,KIFAP3
ENSG00000076003,MCM6
ENSG00000076043,REXO2
ENSG00000076258,FMO4
ENSG00000076770,MBNL3
ENSG00000077152,UBE2T
ENSG00000077348,EXOSC5
ENSG00000077514,POLD3
ENSG00000077549,CAPZB
ENSG00000077942,FBLN1
ENSG00000078018,MAP2
ENSG00000078114,NEBL
ENSG00000078401,EDN1
ENSG00000078596,ITM2A
ENSG00000078618,NRDC
ENSG00000079246,XRCC5
ENSG00000079459,FDFT1
ENSG00000079462,PAFAH1B3
ENSG00000079616,KIF22
ENSG00000079739,PGM1
ENSG00000079785,DDX1
ENSG00000080546,SESN1
ENSG00000080986,NDC80
ENSG00000081277,PKP1
ENSG00000081870,HSPB11
ENSG00000082068,WDR70
ENSG00000082269,FAM135A
ENSG00000083720,OXCT1
ENSG00000083845,RPS5
ENSG00000083857,FAT1
ENSG00000084110,HAL
ENSG00000084207,GSTP1
ENSG00000084636,COL16A1
ENSG00000084693,AGBL5
ENSG00000084733,RAB10
ENSG00000084754,HADHA
ENSG00000085117,CD82
ENSG00000085377,PREP
ENSG00000085871,MGST2
ENSG00000086200,IPO11
ENSG00000086570,FAT2
ENSG00000087008,ACOX3
ENSG00000087111,PIGS
ENSG00000087191,PSMC5
ENSG00000087302,RTRAF
ENSG00000087510,TFAP2C
ENSG00000087586,AURKA
ENSG00000087842,PIR
ENSG00000088002,SULT2B1
ENSG00000088280,ASAP3
ENSG00000088298,EDEM2
ENSG00000088325,TPX2
ENSG00000088386,SLC15A1
ENSG00000088726,TMEM40
ENSG00000088832,FKBP1A
ENSG00000088986,DYNLL1
ENSG00000089009,RPL6
ENSG00000089050,RBBP9
ENSG00000089063,TMEM230
ENSG00000089127,OAS1
ENSG00000089157,RPLP0
ENSG00000089220,PEBP1
ENSG00000089248,ERP29
ENSG00000089356,FXYD3
ENSG00000089685,BIRC5
ENSG00000089723,OTUB2
ENSG00000090013,BLVRB
ENSG00000090263,MRPS33
ENSG00000090266,NDUFB2
ENSG00000090512,FETUB
ENSG00000090530,P3H2
ENSG00000090661,CERS4
ENSG00000090776,EFNB1
ENSG00000090889,KIF4A
ENSG00000090971,NAT14
ENSG00000091136,LAMB1
ENSG00000091483,FH
ENSG00000091947,TMEM101
ENSG00000091986,CCDC80
ENSG00000092010,PSME1
ENSG00000092036,HAUS4
ENSG00000092068,SLC7A8
ENSG00000092295,TGM1
ENSG00000092529,CAPN3
ENSG00000092841,MYL6
ENSG00000093009,CDC45
ENSG00000093010,COMT
ENSG00000094796,KRT31
ENSG00000094880,CDC23
ENSG00000095303,PTGS1
ENSG00000095383,TBC1D2
ENSG00000095585,BLNK
ENSG00000096696,DSP
ENSG00000099194,SCD
ENSG00000099204,ABLIM1
ENSG00000099219,ERMP1
ENSG00000099246,RAB18
ENSG00000099260,PALMD
ENSG00000099337,KCNK6
ENSG00000099624,ATP5F1D
ENSG00000099785,2-Mar
ENSG00000099795,NDUFB7
ENSG00000099797,TECR
ENSG00000099800,TIMM13
ENSG00000099901,RANBP1
ENSG00000099977,DDT
ENSG00000100003,SEC14L2
ENSG00000100078,PLA2G3
ENSG00000100097,LGALS1
ENSG00000100100,PIK3IP1
ENSG00000100116,GCAT
ENSG00000100129,EIF3L
ENSG00000100138,SNU13
ENSG00000100139,MICALL1
ENSG00000100142,POLR2F
ENSG00000100170,SLC5A1
ENSG00000100216,TOMM22
ENSG00000100234,TIMP3
ENSG00000100246,DNAL4
ENSG00000100271,TTLL1
ENSG00000100280,AP1B1
ENSG00000100294,MCAT
ENSG00000100297,MCM5
ENSG00000100300,TSPO
ENSG00000100304,TTLL12
ENSG00000100316,RPL3
ENSG00000100321,SYNGR1
ENSG00000100347,SAMM50
ENSG00000100348,TXN2
ENSG00000100350,FOXRED2
ENSG00000100412,ACO2
ENSG00000100413,POLR3H
ENSG00000100439,ABHD4
ENSG00000100504,PYGL
ENSG00000100526,CDKN3
ENSG00000100528,CNIH1
ENSG00000100567,PSMA3
ENSG00000100568,VTI1B
ENSG00000100592,DAAM1
ENSG00000100644,HIF1A
ENSG00000100714,MTHFD1
ENSG00000100749,VRK1
ENSG00000100804,PSMB5
ENSG00000100842,EFS
ENSG00000100911,PSME2
ENSG00000100979,PLTP
ENSG00000100994,PYGB
ENSG00000101000,PROCR
ENSG00000101040,ZMYND8
ENSG00000101057,MYBL2
ENSG00000101220,C20orf27
ENSG00000101311,FERMT1
ENSG00000101337,TM9SF4
ENSG00000101365,IDH3B
ENSG00000101384,JAG1
ENSG00000101417,PXMP4
ENSG00000101439,CST3
ENSG00000101444,AHCY
ENSG00000101911,PRPS2
ENSG00000101955,SRPX
ENSG00000102024,PLS3
ENSG00000102144,PGK1
ENSG00000102241,HTATSF1
ENSG00000102243,VGLL1
ENSG00000102312,PORCN
ENSG00000102471,NDFIP2
ENSG00000102543,CDADC1
ENSG00000102575,ACP5
ENSG00000102886,GDPD3
ENSG00000102891,MT4
ENSG00000102893,PHKB
ENSG00000102921,N4BP1
ENSG00000103021,CCDC113
ENSG00000103024,NME3
ENSG00000103044,HAS3
ENSG00000103051,COG4
ENSG00000103145,HCFC1R1
ENSG00000103187,COTL1
ENSG00000103196,CRISPLD2
ENSG00000103202,NME4
ENSG00000103260,METRN
ENSG00000103363,ELOB
ENSG00000103485,QPRT
ENSG00000103490,PYCARD
ENSG00000103544,VPS35L
ENSG00000103550,KNOP1
ENSG00000103569,AQP9
ENSG00000103769,RAB11A
ENSG00000103811,CTSH
ENSG00000103888,CEMIP
ENSG00000104055,TGM5
ENSG00000104140,RHOV
ENSG00000104147,OIP5
ENSG00000104267,CA2
ENSG00000104320,NBN
ENSG00000104325,DECR1
ENSG00000104332,SFRP1
ENSG00000104341,LAPTM4B
ENSG00000104381,GDAP1
ENSG00000104412,EMC2
ENSG00000104613,INTS10
ENSG00000104660,LEPROTL1
ENSG00000104723,TUSC3
ENSG00000104763,ASAH1
ENSG00000104805,NUCB1
ENSG00000104823,ECH1
ENSG00000104979,C19orf53
ENSG00000105011,ASF1B
ENSG00000105088,OLFM2
ENSG00000105131,EPHX3
ENSG00000105135,ILVBL
ENSG00000105141,CASP14
ENSG00000105193,RPS16
ENSG00000105202,FBL
ENSG00000105223,PLD3
ENSG00000105258,POLR2I
ENSG00000105289,TJP3
ENSG00000105357,MYH14
ENSG00000105372,RPS19
ENSG00000105379,ETFB
ENSG00000105404,RABAC1
ENSG00000105427,CNFN
ENSG00000105514,RAB3D
ENSG00000105518,TMEM205
ENSG00000105568,PPP2R1A
ENSG00000105583,WDR83OS
ENSG00000105640,RPL18A
ENSG00000105647,PIK3R2
ENSG00000105677,TMEM147
ENSG00000105701,FKBP8
ENSG00000105755,ETHE1
ENSG00000105854,PON2
ENSG00000105855,ITGB8
ENSG00000105880,DLX5
ENSG00000105928,GSDME
ENSG00000105953,OGDH
ENSG00000105974,CAV1
ENSG00000106049,HIBADH
ENSG00000106123,EPHB6
ENSG00000106153,CHCHD2
ENSG00000106211,HSPB1
ENSG00000106244,PDAP1
ENSG00000106268,NUDT1
ENSG00000106278,PTPRZ1
ENSG00000106330,MOSPD3
ENSG00000106367,AP1S1
ENSG00000106399,RPA3
ENSG00000106588,PSMA2
ENSG00000106628,POLD2
ENSG00000106771,TMEM245
ENSG00000107020,PLGRKT
ENSG00000107104,KANK1
ENSG00000107159,CA9
ENSG00000107165,TYRP1
ENSG00000107201,DDX58
ENSG00000107223,EDF1
ENSG00000107438,PDLIM1
ENSG00000107485,GATA3
ENSG00000107537,PHYH
ENSG00000107798,LIPA
ENSG00000107833,NPM3
ENSG00000107874,CUEDC2
ENSG00000107882,SUFU
ENSG00000107902,LHPP
ENSG00000107957,SH3PXD2A
ENSG00000107960,STN1
ENSG00000107968,MAP3K8
ENSG00000107984,DKK1
ENSG00000108091,CCDC6
ENSG00000108107,RPL28
ENSG00000108242,CYP2C18
ENSG00000108244,KRT23
ENSG00000108298,RPL19
ENSG00000108309,RUNDC3A
ENSG00000108352,RAPGEFL1
ENSG00000108375,RNF43
ENSG00000108389,MTMR4
ENSG00000108406,DHX40
ENSG00000108439,PNPO
ENSG00000108523,RNF167
ENSG00000108561,C1QBP
ENSG00000108578,BLMH
ENSG00000108679,LGALS3BP
ENSG00000108828,VAT1
ENSG00000108840,HDAC5
ENSG00000109016,DHRS7B
ENSG00000109062,SLC9A3R1
ENSG00000109101,FOXN1
ENSG00000109107,ALDOC
ENSG00000109182,CWH43
ENSG00000109193,SULT1E1
ENSG00000109255,NMU
ENSG00000109390,NDUFC1
ENSG00000109452,INPP4B
ENSG00000109458,GAB1
ENSG00000109475,RPL34
ENSG00000109572,CLCN3
ENSG00000109667,SLC2A9
ENSG00000109686,SH3D19
ENSG00000109787,KLF3
ENSG00000109805,NCAPG
ENSG00000109846,CRYAB
ENSG00000109861,CTSC
ENSG00000109881,CCDC34
ENSG00000109919,MTCH2
ENSG00000109929,SC5D
ENSG00000110002,VWA5A
ENSG00000110013,SIAE
ENSG00000110108,TMEM109
ENSG00000110315,RNF141
ENSG00000110400,NECTIN1
ENSG00000110442,COMMD9
ENSG00000110651,CD81
ENSG00000110700,RPS13
ENSG00000110917,MLEC
ENSG00000110955,ATP5F1B
ENSG00000111142,METAP2
ENSG00000111144,LTA4H
ENSG00000111206,FOXM1
ENSG00000111229,ARPC3
ENSG00000111319,SCNN1A
ENSG00000111331,OAS3
ENSG00000111335,OAS2
ENSG00000111348,ARHGDIB
ENSG00000111405,ENDOU
ENSG00000111424,VDR
ENSG00000111445,RFC5
ENSG00000111481,COPZ1
ENSG00000111602,TIMELESS
ENSG00000111639,MRPL51
ENSG00000111652,COPS7A
ENSG00000111667,USP5
ENSG00000111669,TPI1
ENSG00000111671,SPSB2
ENSG00000111678,C12orf57
ENSG00000111684,LPCAT3
ENSG00000111716,LDHB
ENSG00000111775,COX6A1
ENSG00000111843,TMEM14C
ENSG00000111863,ADTRP
ENSG00000111875,ASF1A
ENSG00000111907,TPD52L1
ENSG00000112033,PPARD
ENSG00000112304,ACOT13
ENSG00000112306,RPS12
ENSG00000112312,GMNN
ENSG00000112357,PEX7
ENSG00000112378,PERP
ENSG00000112651,MRPL2
ENSG00000112667,DNPH1
ENSG00000112695,COX7A2
ENSG00000112742,TTK
ENSG00000112874,NUDT12
ENSG00000112984,KIF20A
ENSG00000113048,MRPS27
ENSG00000113140,SPARC
ENSG00000113161,HMGCR
ENSG00000113318,MSH3
ENSG00000113368,LMNB1
ENSG00000113790,EHHADH
ENSG00000113845,TIMMDC1
ENSG00000113916,BCL6
ENSG00000113946,CLDN16
ENSG00000114021,NIT2
ENSG00000114023,FAM162A
ENSG00000114054,PCCB
ENSG00000114115,RBP1
ENSG00000114200,BCHE
ENSG00000114251,WNT5A
ENSG00000114391,RPL24
ENSG00000114405,C3orf14
ENSG00000114631,PODXL2
ENSG00000114638,UPK1B
ENSG00000114737,CISH
ENSG00000114771,AADAC
ENSG00000114779,ABHD14B
ENSG00000114902,SPCS1
ENSG00000114942,EEF1B2
ENSG00000115008,IL1A
ENSG00000115053,NCL
ENSG00000115221,ITGB6
ENSG00000115255,REEP6
ENSG00000115267,IFIH1
ENSG00000115268,RPS15
ENSG00000115306,SPTBN1
ENSG00000115350,POLE4
ENSG00000115365,LANCL1
ENSG00000115380,EFEMP1
ENSG00000115392,FANCL
ENSG00000115414,FN1
ENSG00000115415,STAT1
ENSG00000115457,IGFBP2
ENSG00000115561,CHMP3
ENSG00000115685,PPP1R7
ENSG00000115884,SDC1
ENSG00000115963,RND3
ENSG00000116005,PCYOX1
ENSG00000116106,EPHA4
ENSG00000116120,FARSB
ENSG00000116133,DHCR24
ENSG00000116171,SCP2
ENSG00000116209,TMEM59
ENSG00000116237,ICMT
ENSG00000116251,RPL22
ENSG00000116288,PARK7
ENSG00000116353,MECR
ENSG00000116459,ATP5PB
ENSG00000116586,LAMTOR2
ENSG00000116649,SRM
ENSG00000116667,C1orf21
ENSG00000116701,NCF2
ENSG00000116711,PLA2G4A
ENSG00000116729,WLS
ENSG00000116741,RGS2
ENSG00000116885,OSCP1
ENSG00000116898,MRPS15
ENSG00000116990,MYCL
ENSG00000116991,SIPA1L2
ENSG00000117114,ADGRL2
ENSG00000117226,GBP3
ENSG00000117228,GBP1
ENSG00000117318,ID3
ENSG00000117399,CDC20
ENSG00000117448,AKR1A1
ENSG00000117472,TSPAN1
ENSG00000117525,F3
ENSG00000117528,ABCD3
ENSG00000117543,DPH5
ENSG00000117592,PRDX6
ENSG00000117593,DARS2
ENSG00000117632,STMN1
ENSG00000117650,NEK2
ENSG00000117724,CENPF
ENSG00000117862,TXNDC12
ENSG00000117877,CD3EAP
ENSG00000117899,MESD
ENSG00000117906,RCN2
ENSG00000117984,CTSD
ENSG00000118181,RPS25
ENSG00000118257,NRP2
ENSG00000118263,KLF7
ENSG00000118322,ATP10B
ENSG00000118402,ELOVL4
ENSG00000118418,HMGN3
ENSG00000118515,SGK1
ENSG00000118520,ARG1
ENSG00000118705,RPN2
ENSG00000118898,PPL
ENSG00000119013,NDUFB3
ENSG00000119280,C1orf198
ENSG00000119383,PTPA
ENSG00000119421,NDUFA8
ENSG00000119471,HSDL2
ENSG00000119632,IFI27L2
ENSG00000119650,IFT43
ENSG00000119655,NPC2
ENSG00000119681,LTBP2
ENSG00000119686,FLVCR2
ENSG00000119705,SLIRP
ENSG00000119718,EIF2B2
ENSG00000119812,FAM98A
ENSG00000119862,LGALSL
ENSG00000119977,TCTN3
ENSG00000119986,AVPI1
ENSG00000120149,MSX2
ENSG00000120162,MOB3B
ENSG00000120256,LRP11
ENSG00000120278,PLEKHG1
ENSG00000120437,ACAT2
ENSG00000120471,TP53AIP1
ENSG00000120509,PDZD11
ENSG00000120594,PLXDC2
ENSG00000120656,TAF12
ENSG00000120697,ALG5
ENSG00000120708,TGFBI
ENSG00000120725,SIL1
ENSG00000120802,TMPO
ENSG00000120915,EPHX2
ENSG00000121064,SCPEP1
ENSG00000121152,NCAPH
ENSG00000121316,PLBD1
ENSG00000121552,CSTA
ENSG00000121578,B4GALT4
ENSG00000121690,DEPDC7
ENSG00000121691,CAT
ENSG00000121742,GJB6
ENSG00000121858,TNFSF10
ENSG00000121900,TMEM54
ENSG00000121957,GPSM2
ENSG00000122026,RPL21
ENSG00000122378,PRXL2A
ENSG00000122406,RPL5
ENSG00000122644,ARL4A
ENSG00000122786,CALD1
ENSG00000122952,ZWINT
ENSG00000123104,ITPR2
ENSG00000123131,PRDX4
ENSG00000123179,EBPL
ENSG00000123349,PFDN5
ENSG00000123416,TUBA1B
ENSG00000123485,HJURP
ENSG00000123600,METTL8
ENSG00000123892,RAB38
ENSG00000123989,CHPF
ENSG00000124098,FAM210B
ENSG00000124107,SLPI
ENSG00000124172,ATP5F1E
ENSG00000124207,CSE1L
ENSG00000124299,PEPD
ENSG00000124343,XG
ENSG00000124357,NAGK
ENSG00000124370,MCEE
ENSG00000124374,PAIP2B
ENSG00000124429,POF1B
ENSG00000124466,LYPD3
ENSG00000124562,SNRPC
ENSG00000124608,AARS2
ENSG00000124614,RPS10
ENSG00000124733,MEA1
ENSG00000124767,GLO1
ENSG00000124787,RPP40
ENSG00000125124,BBS2
ENSG00000125144,MT1G
ENSG00000125148,MT2A
ENSG00000125149,C16orf70
ENSG00000125166,GOT2
ENSG00000125356,NDUFA1
ENSG00000125398,SOX9
ENSG00000125534,PPDPF
ENSG00000125538,IL1B
ENSG00000125611,CHCHD5
ENSG00000125648,SLC25A23
ENSG00000125652,ALKBH7
ENSG00000125657,TNFSF9
ENSG00000125691,RPL23
ENSG00000125743,SNRPD2
ENSG00000125746,EML2
ENSG00000125775,SDCBP2
ENSG00000125780,TGM3
ENSG00000125821,DTD1
ENSG00000125848,FLRT3
ENSG00000125868,DSTN
ENSG00000125871,MGME1
ENSG00000125877,ITPA
ENSG00000125901,MRPS26
ENSG00000125968,ID1
ENSG00000125991,ERGIC3
ENSG00000125995,ROMO1
ENSG00000125998,FAM83C
ENSG00000126005,MMP24OS
ENSG00000126088,UROD
ENSG00000126233,SLURP1
ENSG00000126247,CAPNS1
ENSG00000126267,COX6B1
ENSG00000126391,FRMD8
ENSG00000126432,PRDX5
ENSG00000126602,TRAP1
ENSG00000126709,IFI6
ENSG00000126787,DLGAP5
ENSG00000126953,TIMM8A
ENSG00000127084,FGD3
ENSG00000127152,BCL11B
ENSG00000127184,COX7C
ENSG00000127540,UQCR11
ENSG00000127824,TUBA4A
ENSG00000127884,ECHS1
ENSG00000127948,POR
ENSG00000127954,STEAP4
ENSG00000127955,GNAI1
ENSG00000128039,SRD5A3
ENSG00000128050,PAICS
ENSG00000128185,DGCR6L
ENSG00000128228,SDF2L1
ENSG00000128294,TPST2
ENSG00000128311,TST
ENSG00000128340,RAC2
ENSG00000128422,KRT17
ENSG00000128524,ATP6V1F
ENSG00000128626,MRPS12
ENSG00000128708,HAT1
ENSG00000128951,DUT
ENSG00000129103,SUMF2
ENSG00000129128,SPCS3
ENSG00000129151,BBOX1
ENSG00000129226,CD68
ENSG00000129235,TXNDC17
ENSG00000129255,MPDU1
ENSG00000129353,SLC44A2
ENSG00000129354,AP1M2
ENSG00000129422,MTUS1
ENSG00000129451,KLK10
ENSG00000129455,KLK8
ENSG00000129493,HEATR5A
ENSG00000129559,NEDD8
ENSG00000129562,DAD1
ENSG00000129691,ASH2L
ENSG00000129824,RPS4Y1
ENSG00000130054,FAM155B
ENSG00000130055,GDPD2
ENSG00000130193,THEM6
ENSG00000130203,APOE
ENSG00000130255,RPL36
ENSG00000130312,MRPL34
ENSG00000130349,MTRES1
ENSG00000130402,ACTN4
ENSG00000130520,LSM4
ENSG00000130598,TNNI2
ENSG00000130600,H19
ENSG00000130724,CHMP2A
ENSG00000130748,TMEM160
ENSG00000130770,ATP5IF1
ENSG00000130813,SHFL
ENSG00000131019,ULBP3
ENSG00000131069,ACSS2
ENSG00000131143,COX4I1
ENSG00000131171,SH3BGRL
ENSG00000131174,COX7B
ENSG00000131233,GJA9
ENSG00000131236,CAP1
ENSG00000131238,PPT1
ENSG00000131374,TBC1D5
ENSG00000131462,TUBG1
ENSG00000131469,RPL27
ENSG00000131473,ACLY
ENSG00000131475,VPS25
ENSG00000131495,NDUFA2
ENSG00000131558,EXOC4
ENSG00000131650,KREMEN2
ENSG00000131669,NINJ1
ENSG00000131746,TNS4
ENSG00000131747,TOP2A
ENSG00000131779,PEX11B
ENSG00000131788,PIAS3
ENSG00000131981,LGALS3
ENSG00000132164,SLC6A11
ENSG00000132274,TRIM22
ENSG00000132305,IMMT
ENSG00000132383,RPA1
ENSG00000132405,TBC1D14
ENSG00000132423,COQ3
ENSG00000132541,RIDA
ENSG00000132623,ANKEF1
ENSG00000132646,PCNA
ENSG00000132669,RIN2
ENSG00000132698,RAB25
ENSG00000132746,ALDH3B2
ENSG00000132842,AP3B1
ENSG00000133027,PEMT
ENSG00000133048,CHI3L1
ENSG00000133056,PIK3C2B
ENSG00000133142,TCEAL4
ENSG00000133195,SLC39A11
ENSG00000133265,HSPBP1
ENSG00000133315,MACROD1
ENSG00000133401,PDZD2
ENSG00000133466,C1QTNF6
ENSG00000133678,TMEM254
ENSG00000133704,IPO8
ENSG00000133710,SPINK5
ENSG00000133835,HSD17B4
ENSG00000133935,ERG28
ENSG00000134057,CCNB1
ENSG00000134153,EMC7
ENSG00000134215,VAV3
ENSG00000134243,SORT1
ENSG00000134247,PTGFRN
ENSG00000134317,GRHL1
ENSG00000134363,FST
ENSG00000134419,RPS15A
ENSG00000134504,KCTD1
ENSG00000134690,CDCA8
ENSG00000134716,CYP2J2
ENSG00000134757,DSG3
ENSG00000134760,DSG1
ENSG00000134762,DSC3
ENSG00000134765,DSC1
ENSG00000134779,TPGS2
ENSG00000134824,FADS2
ENSG00000134825,TMEM258
ENSG00000134827,TCN1
ENSG00000134882,UBAC2
ENSG00000134955,SLC37A2
ENSG00000135047,CTSL
ENSG00000135114,OASL
ENSG00000135218,CD36
ENSG00000135318,NT5E
ENSG00000135336,ORC3
ENSG00000135373,EHF
ENSG00000135378,PRRG4
ENSG00000135390,ATP5MC2
ENSG00000135506,OS9
ENSG00000135587,SMPD2
ENSG00000135624,CCT7
ENSG00000135838,NPL
ENSG00000135926,TMBIM1
ENSG00000135940,COX5B
ENSG00000135972,MRPS9
ENSG00000136002,ARHGEF4
ENSG00000136026,CKAP4
ENSG00000136108,CKAP2
ENSG00000136111,TBC1D4
ENSG00000136153,LMO7
ENSG00000136155,SCEL
ENSG00000136156,ITM2B
ENSG00000136159,NUDT15
ENSG00000136235,GPNMB
ENSG00000136261,BZW2
ENSG00000136379,ABHD17C
ENSG00000136425,CIB2
ENSG00000136478,TEX2
ENSG00000136521,NDUFB5
ENSG00000136542,GALNT5
ENSG00000136688,IL36G
ENSG00000136689,IL1RN
ENSG00000136695,IL36RN
ENSG00000136697,IL1F10
ENSG00000136710,CCDC115
ENSG00000136720,HS6ST1
ENSG00000136783,NIPSNAP3A
ENSG00000136824,SMC2
ENSG00000136826,KLF4
ENSG00000136867,SLC31A2
ENSG00000136942,RPL35
ENSG00000136943,CTSV
ENSG00000136997,MYC
ENSG00000137033,IL33
ENSG00000137038,DMAC1
ENSG00000137100,DCTN3
ENSG00000137106,GRHPR
ENSG00000137133,HINT2
ENSG00000137154,RPS6
ENSG00000137168,PPIL1
ENSG00000137193,PIM1
ENSG00000137266,SLC22A23
ENSG00000137267,TUBB2A
ENSG00000137288,UQCC2
ENSG00000137393,RNF144B
ENSG00000137440,FGFBP1
ENSG00000137460,FHDC1
ENSG00000137509,PRCP
ENSG00000137547,MRPL15
ENSG00000137563,GGH
ENSG00000137628,DDX60
ENSG00000137642,SORL1
ENSG00000137648,TMPRSS4
ENSG00000137699,TRIM29
ENSG00000137720,C11orf1
ENSG00000137747,TMPRSS13
ENSG00000137752,CASP1
ENSG00000137767,SQOR
ENSG00000137801,THBS1
ENSG00000137818,RPLP1
ENSG00000137857,DUOX1
ENSG00000137944,KYAT3
ENSG00000137965,IFI44
ENSG00000137968,SLC44A5
ENSG00000137975,CLCA2
ENSG00000137992,DBT
ENSG00000138018,SELENOI
ENSG00000138029,HADHB
ENSG00000138036,DYNC2LI1
ENSG00000138073,PREB
ENSG00000138085,ATRAID
ENSG00000138119,MYOF
ENSG00000138152,BTBD16
ENSG00000138160,KIF11
ENSG00000138180,CEP55
ENSG00000138311,ZNF365
ENSG00000138326,RPS24
ENSG00000138413,IDH1
ENSG00000138449,SLC40A1
ENSG00000138629,UBL7
ENSG00000138744,NAAA
ENSG00000138777,PPA2
ENSG00000138801,PAPSS1
ENSG00000138829,FBN2
ENSG00000139044,B4GALNT3
ENSG00000139173,TMEM117
ENSG00000139211,AMIGO2
ENSG00000139263,LRIG3
ENSG00000139278,GLIPR1
ENSG00000139343,SNRPF
ENSG00000139428,MMAB
ENSG00000139433,GLTP
ENSG00000139579,NABP2
ENSG00000139629,GALNT6
ENSG00000139637,C12orf10
ENSG00000139734,DIAPH3
ENSG00000139793,MBNL2
ENSG00000139921,TMX1
ENSG00000139988,RDH12
ENSG00000140006,WDR89
ENSG00000140254,DUOXA1
ENSG00000140263,SORD
ENSG00000140264,SERF2
